event_id,event_time,event_type,ticket_id
1,2024-01-01,created,__fixtureforge_missing_parent__
2,2024-01-08,assigned,2
3,2024-01-15,replied,3
4,2024-01-22,resolved,4
5,2024-01-29,created,5
6,2024-02-05,assigned,6
7,2024-02-12,replied,7
8,2024-02-19,resolved,8
9,2024-02-26,created,9
10,2024-03-04,assigned,10
11,2024-03-11,replied,11
12,2024-03-18,resolved,12
13,2024-03-25,created,13
14,2024-04-01,assigned,14
15,2024-04-08,replied,15
16,2024-04-15,resolved,16
17,2024-04-22,created,17
18,2024-04-29,assigned,18
19,2024-05-06,replied,19
20,2024-05-13,resolved,20
21,2024-05-20,created,21
22,2024-05-27,assigned,22
23,2024-06-03,replied,23
24,2024-06-10,resolved,24
25,2024-06-17,created,1
26,2024-06-24,assigned,2
27,2024-07-01,replied,3
28,2024-07-08,resolved,4
29,2024-07-15,created,5
30,2024-07-22,assigned,6
31,2024-07-29,replied,7
32,2024-08-05,resolved,8
33,2024-08-12,created,9
34,2024-08-19,assigned,10
35,2024-08-26,replied,11
36,2024-09-02,resolved,12
37,2024-09-09,created,13
38,2024-09-16,assigned,14
39,2024-09-23,replied,15
40,2024-09-30,resolved,16
